,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
3331,1004979,63401,,,,,,,,,,,08:00:00-06:00,00:00:00-06:00,,
3337,1003660,49740,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
3357,1008577,22801,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
3409,1009752,71037,,,,,,,,,,,12:00:00-06:00,16:00:00-06:00,,
3431,1010686,20169,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,,,
3432,1008318,20137,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,,,
3448,1010845,29208,,,09:30:00-05:00,13:30:00-05:00,,,,,,,,,,
3459,1010544,85710,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,,,
3462,1010545,85737,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
3537,1000814,72205,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
3539,1002848,53705,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00,,
3548,1010186,97124,,,,,,,,,,,09:00:00-08:00,13:30:00-08:00,,
3555,1001244,97219,,,,,,,,,,,,,10:00:00-08:00,13:00:00-08:00
3566,1008942,37214,,,,,,,,,16:00:00-06:00,19:00:00-06:00,,,,
3570,1004535,71901,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
3572,1010937,48446,09:00:00-05:00,15:00:00-05:00,,,,,,,,,,,,
3607,1000118,97213,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
3616,1010052,53033,,,,,,,,,,,09:00:00-06:00,16:00:00-06:00,09:00:00-06:00,16:00:00-06:00
3626,1005558,13077,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
3706,1001611,60142,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
3714,1012602,55350,,,,,02:30:00-06:00,17:30:00-06:00,,,,,08:00:00-06:00,12:00:00-06:00,,
3739,1002820,91932,,,,,,,,,14:00:00-08:00,18:00:00-08:00,,,,
3742,1008247,24348,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
3830,1009970,53545,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
3918,1008375,93720,,,,,09:00:00-08:00,13:30:00-08:00,,,,,,,,
3945,1001038,60901,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
3946,1011807,67205,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
3957,1002030,64114,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
4033,1012794,86401,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
4039,1003269,12402,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
4096,1002405,55947,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
4120,1010416,70503,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,,,
4145,1012785,95602,,,16:00:00-08:00,18:30:00-08:00,,,,,,,,,,
4149,1001696,12946,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
4193,1009803,97401,,,10:00:00-08:00,15:00:00-08:00,,,,,,,09:00:00-08:00,15:00:00-08:00,,
4202,1000307,82070,,,,,,,15:00:00-07:00,18:00:00-07:00,,,,,,
4238,1012750,66044,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
4269,1012618,20175,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
4288,1003937,45211,,,,,,,,,15:30:00-05:00,18:30:00-05:00,,,,
4296,1011527,83501,,,,,,,,,,,17:00:00-08:00,20:00:00-08:00,,
4328,1010993,28037,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
4339,1000905,48146,,,,,,,,,,,,,11:00:00-05:00,16:00:00-05:00
4343,1011688,65101,,,,,,,,,,,09:00:00-06:00,10:00:00-06:00,,
4409,1001148,46947,,,,,15:00:00-05:00,18:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,
4437,1005431,87107,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
4460,1011233,97885,,,,,,,,,,,11:00:00-08:00,16:00:00-08:00,,
4467,1011773,60626,14:30:00-06:00,18:30:00-06:00,,,,,,,,,,,,
4496,1012815,49858,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
4514,1006501,35758,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
4549,1011624,20878,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
4552,1001102,37408,,,,,16:00:00-05:00,17:00:00-05:00,,,,,,,,
4604,1008221,23103,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
4622,1012135,54220,,,12:00:00-06:00,18:00:00-06:00,,,,,,,,,,
4652,1012781,32446,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
4688,1000188,56377,,,,,,,,,,,10:00:00-06:00,13:00:00-06:00,,
4708,1008339,97477,,,,,,,,,15:00:00-08:00,19:00:00-08:00,,,,
