FMID,start,end,zip
1011494,2015-05-05,2015-10-13,94403
1001205,2013-04-04,2013-09-26,94915
1010075,2014-06-07,2014-08-30,74063
1003047,2014-05-06,2014-11-25,29229
1006640,2013-04-10,2013-09-25,28374
1006639,2013-05-04,2013-09-28,28374
1006060,2016-01-01,2016-12-31,32771
1005452,2014-05-14,2014-10-15,12010
1000593,2014-09-06,2014-09-27,93657
1010514,2016-10-02,2017-05-28,33957
1008976,2013-01-01,2013-12-31,95403
1003834,2013-01-01,2013-12-31,91355
1012334,2016-01-01,2016-12-31,90405
1008570,2014-01-01,2014-12-31,90404
1012321,2016-01-01,2016-12-31,90405
1008564,2014-01-01,2014-12-31,90401
1009690,2014-01-01,2014-12-31,95404
1010161,2014-05-07,2014-08-27,95404
1011160,2015-01-01,2015-12-31,32571
1002420,2013-01-01,2013-12-31,92071
1007261,2014-05-03,2014-10-29,49684
1008303,2016-06-04,2016-10-01,71601
1012197,2016-07-03,2016-09-11,12981
1010216,2014-05-13,2014-09-30,12983
1012203,2016-06-04,2016-10-15,12983
1002746,2016-01-01,2016-12-31,95070
1012460,2016-05-04,2016-10-29,12866
1012387,2016-11-05,2017-04-29,12866
1010173,2016-06-11,2016-09-24,97914
1001518,2016-07-09,2016-09-17,59501
1006273,2014-05-04,2014-11-23,18055
1010746,2016-05-27,2016-09-30,49453
1009918,2015-05-23,2015-10-31,12477
1007242,2014-05-24,2014-10-25,12477
1007250,2014-05-24,2014-10-25,12477
1010870,2015-05-05,2015-10-27,28630
1010251,2016-06-08,2016-09-28,55073
1001762,2016-05-21,2016-10-01,97056
1012089,2016-06-01,2016-10-29,12309
1000043,2013-05-04,2013-11-02,12309
1005734,2014-01-01,2014-12-31,12305
1006449,2014-06-10,2014-10-28,12304
1012208,2016-05-25,2016-09-28,44256
1008945,2016-02-01,2016-12-16,12043
1000576,2012-09-01,2012-10-31,49087
1012207,2016-06-27,2016-08-29,12870
1005319,2015-06-01,2015-11-01,19103
1001386,2015-05-14,2015-10-22,63555
1000422,2014-05-17,2014-10-25,47170
1002256,2016-06-01,2016-09-28,14546
1011280,2015-06-06,2015-10-03,49454
1001734,2015-01-01,2015-12-31,92131
1000521,2014-01-01,2014-12-31,32459
1012149,2016-05-31,2016-10-11,98104
1011680,2015-01-01,2015-12-31,99801
1001755,2015-05-01,2015-10-30,65301
1003489,2013-05-22,2013-10-16,98284
1002078,2013-01-01,2013-12-31,78155
1005781,2013-06-01,2013-11-02,36701
1004004,2014-06-11,2014-10-22,13148
1011890,2016-05-17,2016-10-18,14081
1004465,2015-05-02,2015-10-31,98382
1011872,2016-03-17,2016-12-23,67137
1003665,2014-05-01,2014-10-30,30110
1012353,2016-05-28,2016-10-29,47274
1010070,2014-06-07,2014-10-11,37865
1005537,2014-01-01,2014-12-31,78745
1005538,2014-01-01,2014-12-31,78723
1005535,2014-01-01,2014-12-31,78702
1005536,2014-01-01,2014-12-31,76702
1010838,2016-05-07,2016-09-10,28470
1010270,2014-01-01,2014-12-31,19129
1005767,2014-06-07,2014-10-04,13459
1004597,2015-05-21,2015-10-29,96007
1011164,2015-06-10,2015-10-14,96013
1011166,2015-06-09,2015-10-13,96001
1004595,2015-04-04,2015-12-19,96001
1004596,2015-06-07,2015-10-11,96001
1007416,2013-05-04,2013-10-26,66203
1006733,2016-05-07,2016-10-01,24162
1001280,2016-06-04,2016-10-29,51537
1008144,2014-06-21,2014-10-11,44875
1010462,2016-05-14,2016-10-22,48317
1009082,2014-04-29,2014-06-10,29928
1001161,2013-05-04,2013-09-28,98584
1009032,2013-01-01,2013-12-31,49120
1011200,2015-06-04,2015-10-01,22849
1010613,2014-12-06,2015-04-04,13460
1010814,2015-06-03,2015-10-30,48884
1011141,2015-05-28,2015-09-17,59749
1009066,2016-07-07,2016-09-29,82801
1008291,2013-06-08,2013-09-21,68853
1009896,2014-06-29,2014-09-14,97039
1012436,2016-05-07,2016-09-24,97140
1006366,2016-07-09,2016-10-01,11798
1009908,2016-05-07,2016-10-15,45415
1010801,2015-06-06,2015-09-29,89511
1004337,2013-06-11,2013-10-22,55126
1012179,2016-06-19,2016-10-23,53211
1000786,2013-06-20,2013-09-19,14548
1005359,2016-06-04,2016-08-27,71101
1011255,2015-07-02,2015-09-25,13041
1004258,2016-06-01,2016-08-30,13838
1008985,2014-05-24,2014-11-01,87901
1001867,2014-01-01,2014-12-31,85635
1011694,2015-01-01,2015-12-31,85650
