FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1008534,47201,,,,,,,15:30:00-05:00,19:00:00-05:00,,,,,,
1005081,80002,,,,,,,,,,,,,09:00:00-07:00,13:30:00-07:00
1003061,20147,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
1003219,28694,,,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,
1008904,28801,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
1008905,28803,,,,,12:00:00-05:00,16:00:00-05:00,,,,,,,,
1005158,54846,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1008897,23005,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1004692,80120,,,,,10:00:00-07:00,14:00:00-07:00,,,,,,,,
1000086,11106,,,,,08:00:00-05:00,15:00:00-05:00,,,,,,,,
1003661,97103,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
1001245,72401,,,,,,,,,,,07:00:00-06:00,13:00:00-06:00,,
1002984,66002,,,,,14:30:00-06:00,17:30:00-06:00,,,,,08:00:00-06:00,12:00:00-06:00,,
1000448,49011,,,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,
1005086,45701,,,,,09:00:00-05:00,12:00:00-05:00,16:00:00-05:00,19:00:00-05:00,,,09:00:00-05:00,12:00:00-05:00,,
1010034,37303,,,16:00:00-05:00,18:00:00-05:00,,,16:00:00-05:00,18:00:00-05:00,,,17:00:00-05:00,21:00:00-05:00,,
1008974,30601,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
1008857,30606,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
1000297,30603,,,,,,,16:30:00-05:00,20:00:00-05:00,,,,,,
1011861,35611,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1002987,28203,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,,
1001503,39090,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
1010003,90039,,,,,,,,,,,,,10:00:00-08:00,14:00:00-08:00
1006311,30011,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
1002377,13021,,,07:00:00-05:00,14:00:00-05:00,,,07:00:00-05:00,14:00:00-05:00,,,07:00:00-05:00,14:00:00-05:00,,
1003772,66402,,,13:00:00-06:00,18:00:00-06:00,,,,,,,,,,
1006410,48326,,,,,,,14:30:00-05:00,18:30:00-05:00,,,,,,
1011950,98001,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
1003923,55418,,,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,
1008999,32803,18:00:00-05:00,22:00:00-05:00,,,,,,,,,,,,
1000870,30901,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,15:30:00-05:00,,
1000559,65605,,,,,,,,,,,,,,
1005604,65605,,,,,08:00:00-06:00,12:00:00-06:00,,,,,07:00:00-06:00,12:00:00-06:00,,
1010694,65605,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
1011929,60505,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1011927,60607,,,,,,,10:00:00-06:00,14:00:00-06:00,,,,,,
1011928,60506,,,,,12:00:00-06:00,17:00:00-06:00,,,,,,,,
1001695,12912,,,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,
1012430,55912,16:00:00-06:00,19:00:00-06:00,,,,,16:00:00-06:00,19:00:00-06:00,,,09:00:00-06:00,12:00:00-06:00,,
1011490,44515,17:00:00-05:00,20:00:00-05:00,,,,,,,,,,,,
1011826,85321,,,,,,,15:00:00-07:00,18:00:00-07:00,,,09:00:00-07:00,12:00:00-07:00,,
1010695,65608,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
1003539,33138,,,,,,,,,,,10:00:00-05:00,21:30:00-05:00,12:00:00-05:00,20:00:00-05:00
1011092,44012,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
1000898,14414,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
1003520,20020,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00,,
1010696,64856,,,08:00:00-06:00,14:00:00-06:00,,,,,,,,,,
1005235,64831,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1010697,64831,,,,,,,08:00:00-06:00,14:00:00-06:00,,,,,,
1000029,56621,,,,,,,,,16:00:00-06:00,18:00:00-06:00,,,,
1005228,65049,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,,,
1004633,98110,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
1003411,97814,,,,,15:30:00-08:00,18:30:00-08:00,,,,,,,,
1004882,66006,,,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,
1008721,42056,,,,,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,15:00:00-06:00,,
1011333,98107,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
1011939,22203,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
1003662,12020,,,,,,,15:00:00-05:00,18:00:00-05:00,,,09:00:00-05:00,12:00:00-05:00,,
1000790,21210,,,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00
1010688,78003,,,,,,,08:00:00-06:00,11:00:00-06:00,,,,,,
1008053,49056,,,,,,,,,15:00:00-05:00,20:00:00-05:00,,,,
